,user,day_0,rep_0,day_1,rep_1,condition,0,1,2,3,m
0,10,1,14,3,15,between,1.0,0.3999999999999999,0.3999999999999999,0.6000000000000001,0.6
1,8,3,11,1,15,between,-0.6,-0.19999999999999996,-1.0,-0.6,-0.6
2,9,1,3,2,4,between,0.0,0.19999999999999996,0.0,0.0,0.04999999999999999
3,7,2,13,3,7,between,0.3999999999999999,0.3999999999999999,0.0,0.19999999999999996,0.24999999999999994
4,2,1,8,2,7,between,0.0,0.19999999999999996,1.0,0.3999999999999999,0.39999999999999997
5,3,2,9,1,11,between,-1.0,-0.6,-1.0,-0.8,-0.8500000000000001
6,7,1,10,2,5,between,1.0,0.3999999999999999,1.0,0.8,0.8
7,5,2,4,3,14,between,-0.4,0.3999999999999999,-1.0,-0.8,-0.45
8,1,3,15,1,8,between,-1.0,-0.8,-1.0,-1.0,-0.95
9,9,1,10,3,10,between,1.0,0.8,1.0,0.6000000000000001,0.85
10,11,3,11,2,12,between,1.0,0.3999999999999999,1.0,0.6000000000000001,0.75
11,11,3,10,2,3,between,-1.0,-0.4,-1.0,-1.0,-0.85
12,3,2,9,1,7,between,-0.8,-0.4,-0.4,-0.8,-0.6000000000000001
13,8,2,5,3,10,between,0.0,0.0,-0.6,-0.8,-0.35
14,5,1,1,2,5,between,1.0,0.19999999999999996,0.0,-0.4,0.19999999999999998
15,6,1,12,3,13,between,-0.6,0.19999999999999996,0.0,0.0,-0.1
16,4,2,6,3,13,between,0.0,0.3999999999999999,0.0,-0.19999999999999996,0.04999999999999999
17,7,1,15,2,11,between,0.19999999999999996,0.0,1.0,0.6000000000000001,0.45
18,1,1,11,2,3,between,1.0,0.3999999999999999,1.0,0.6000000000000001,0.75
19,11,1,11,3,4,between,0.6000000000000001,0.3999999999999999,0.8,0.6000000000000001,0.6000000000000001
20,10,1,2,2,7,between,1.0,0.6000000000000001,1.0,0.6000000000000001,0.8
21,8,1,10,2,10,between,1.0,0.19999999999999996,-0.6,0.19999999999999996,0.19999999999999998
22,12,2,6,3,14,between,0.3999999999999999,0.19999999999999996,0.0,-0.4,0.04999999999999996
23,12,3,4,1,1,between,-1.0,-0.4,0.0,0.6000000000000001,-0.19999999999999996
24,2,2,7,3,7,between,0.6000000000000001,-0.4,0.0,-0.19999999999999996,2.7755575615628914e-17
25,2,1,3,2,6,between,0.8,0.19999999999999996,0.3999999999999999,0.3999999999999999,0.44999999999999996
26,4,3,7,2,11,between,-0.4,-0.4,-0.19999999999999996,0.0,-0.25
27,6,1,2,2,5,between,1.0,0.0,0.0,0.19999999999999996,0.3
28,1,3,7,2,11,between,-1.0,-0.4,-1.0,-0.6,-0.75
29,5,3,14,1,6,between,-1.0,0.0,0.0,0.19999999999999996,-0.2
30,9,2,13,1,2,between,-1.0,-0.8,-1.0,-1.0,-0.95
31,12,3,12,2,2,between,0.3999999999999999,0.0,0.0,-0.6,-0.05000000000000002
32,4,2,3,3,6,between,0.0,0.19999999999999996,-0.19999999999999996,0.0,0.0
33,2,3,1,1,1,between,-0.4,-0.19999999999999996,-0.6,-0.8,-0.5
34,12,2,5,3,8,between,0.3999999999999999,-0.4,0.0,0.3999999999999999,0.09999999999999995
35,11,3,2,1,9,between,-1.0,-0.6,-1.0,-0.8,-0.8500000000000001
36,9,3,2,2,13,between,0.8,0.0,-0.19999999999999996,1.0,0.4
37,10,1,14,3,2,between,1.0,0.6000000000000001,1.0,1.0,0.9
38,4,2,9,1,5,between,0.0,0.0,-0.19999999999999996,0.3999999999999999,0.04999999999999999
39,7,3,11,1,11,between,-0.8,-0.4,-1.0,0.6000000000000001,-0.4
40,3,3,1,2,5,between,-1.0,-0.6,-0.6,-0.8,-0.75
41,10,2,14,1,10,between,-1.0,-0.6,-1.0,-1.0,-0.9
42,5,2,12,1,5,between,0.0,-0.19999999999999996,-1.0,-0.8,-0.5
43,5,3,3,1,14,between,-1.0,0.0,0.0,-0.8,-0.45
44,7,3,9,2,1,between,0.0,-0.19999999999999996,0.0,0.6000000000000001,0.10000000000000003
45,3,3,4,2,15,between,-0.4,0.6000000000000001,-1.0,-0.19999999999999996,-0.24999999999999997
46,12,1,3,2,5,between,0.8,0.6000000000000001,0.0,0.19999999999999996,0.4
47,10,3,4,2,11,between,0.8,0.3999999999999999,0.0,0.0,0.3
48,9,2,8,3,13,between,0.6000000000000001,0.6000000000000001,0.8,0.8,0.7
49,1,1,12,3,9,between,1.0,0.19999999999999996,1.0,1.0,0.8
50,7,2,13,3,14,between,0.3999999999999999,-0.19999999999999996,0.0,0.19999999999999996,0.09999999999999998
51,9,3,1,2,14,between,0.3999999999999999,-0.19999999999999996,0.0,0.8,0.25
52,10,2,1,3,15,between,-0.4,-0.19999999999999996,0.0,-0.6,-0.3
53,7,2,5,1,10,between,-0.8,-0.4,-1.0,-0.19999999999999996,-0.6000000000000001
54,2,2,11,3,13,between,0.19999999999999996,0.0,1.0,0.19999999999999996,0.35
55,4,1,1,2,9,between,0.19999999999999996,0.0,1.0,-0.4,0.19999999999999998
56,8,1,3,2,15,between,0.6000000000000001,0.3999999999999999,1.0,0.19999999999999996,0.55
57,2,1,5,2,12,between,-0.8,0.19999999999999996,-1.0,-0.19999999999999996,-0.45
58,2,3,12,1,14,between,0.3999999999999999,-0.4,0.19999999999999996,0.19999999999999996,0.09999999999999995
59,3,1,11,2,2,between,0.3999999999999999,0.3999999999999999,0.19999999999999996,0.0,0.24999999999999994
60,12,2,7,1,12,between,-0.6,0.3999999999999999,0.0,0.19999999999999996,-2.7755575615628914e-17
61,11,1,6,3,11,between,-1.0,-0.8,-0.19999999999999996,-1.0,-0.75
62,8,3,2,2,5,between,0.6000000000000001,0.19999999999999996,0.0,-0.19999999999999996,0.15000000000000002
63,10,1,12,3,1,between,1.0,0.3999999999999999,1.0,0.3999999999999999,0.7
64,7,2,6,1,7,between,-1.0,-0.19999999999999996,-1.0,-0.19999999999999996,-0.6000000000000001
65,6,1,6,2,3,between,0.19999999999999996,0.3999999999999999,0.0,-0.4,0.04999999999999996
66,5,1,15,3,4,between,1.0,0.6000000000000001,1.0,0.8,0.8500000000000001
67,1,3,3,2,3,between,-0.6,-0.19999999999999996,1.0,0.3999999999999999,0.15
68,12,2,13,3,4,between,-0.4,-0.4,0.0,0.19999999999999996,-0.15000000000000002
69,6,1,7,2,13,between,-0.19999999999999996,0.6000000000000001,0.0,-0.19999999999999996,0.050000000000000044
70,3,1,6,3,13,between,0.6000000000000001,-0.4,1.0,0.3999999999999999,0.4
71,6,3,6,1,1,between,-1.0,-0.6,-1.0,-0.8,-0.8500000000000001
72,9,3,4,2,11,between,-0.6,-0.4,0.0,0.3999999999999999,-0.15000000000000002
73,10,2,2,1,3,between,-0.4,-0.6,0.0,-1.0,-0.5
74,5,1,15,3,15,between,1.0,0.19999999999999996,0.0,1.0,0.55
75,4,3,8,1,8,between,0.3999999999999999,-0.4,-0.19999999999999996,0.8,0.15
76,7,1,11,3,10,between,0.19999999999999996,-0.19999999999999996,0.19999999999999996,0.19999999999999996,0.09999999999999998
77,11,1,8,3,14,between,0.8,0.19999999999999996,0.19999999999999996,0.3999999999999999,0.39999999999999997
78,8,1,15,2,11,between,0.3999999999999999,0.19999999999999996,0.19999999999999996,0.3999999999999999,0.29999999999999993
79,8,3,6,1,8,between,-0.6,-0.6,0.0,-0.6,-0.44999999999999996
80,11,3,13,2,1,between,-1.0,-0.6,-0.4,-1.0,-0.75
81,4,1,3,2,3,between,0.3999999999999999,0.3999999999999999,0.19999999999999996,-0.8,0.04999999999999993
82,3,2,15,3,10,between,0.0,0.19999999999999996,-0.19999999999999996,0.19999999999999996,0.04999999999999999
83,5,2,4,1,14,between,-1.0,-0.4,-0.6,-1.0,-0.75
84,2,3,10,1,14,between,0.3999999999999999,0.3999999999999999,0.0,-0.6,0.04999999999999996
85,11,2,14,1,11,between,0.6000000000000001,-0.6,0.0,0.3999999999999999,0.1
86,6,1,12,2,2,between,-0.6,0.0,0.19999999999999996,0.0,-0.1
87,1,3,11,2,14,between,-1.0,-0.6,-1.0,-1.0,-0.9
88,1,2,11,1,12,between,-1.0,0.19999999999999996,0.0,-0.19999999999999996,-0.25
89,5,1,4,3,8,between,0.6000000000000001,0.0,0.6000000000000001,0.3999999999999999,0.4
